StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q1	Q2	Q3	Q4	Q5	Q5_9_TEXT	Q6	Q7	HUMS1	HUMS2	HUMS3	HUMS4	HUMS5	HUMS6	HUMS7	HUMS8	HUMS9	HUMS10	HUMS11	HUMS12	HUMS13	MAS1	MAS2	MAS3	MAS4	MAS5	MAS6	MAS7	MAS8	MAS9	MAS10	MAS11	MAS12	MAS13	MAS14	MAS15	MAS16	MAS17	MAS18	MAS19	MAS20	MAS21	MAS22	MAS23	MAS24	MAS25	MAS26	MAS27	MAS28	GOLD1-AE	GOLD2-AE	GOLD3-AE	GOLD4-AE	GOLD5-AE	GOLD6-AE	GOLD7-AE	GOLD8-AE	GOLD9-AE	GOLD1-MT	GOLD2-MT	GOLD3-MT	GOLD4-MT	GOLD5-MT	GOLD6-MT	GOLD7-MT
		IP Address		92	420	True		SYN_0011							anonymous	EN	I consent to participate in this study	38	Prefer not to say	High school	English		Intermediate	Country B	Sometimes		Always	Often	Always	Always	Always	Often	Almost never	Often	Always	Often	Often	Neither agree nor disagree	Strongly agree	Completely agree	Disagree	Neither agree nor disagree	Agree	Agree	Completely agree	Completely disagree	Neither agree nor disagree	Completely agree	Strongly agree	Completely agree	Agree	Completely agree	Completely agree	Completely agree	Completely agree	Completely agree	Completely agree	Completely agree	Agree	Completely agree	Completely agree	Neither agree nor disagree	Disagree	Agree	Completely agree	Disagree	Strongly disagree	Disagree	11 or more	Disagree	Neither agree nor disagree	0-15 min	Neither agree nor disagree	Strongly agree	4-5	3-4	Agree	2	1	6 or more	Strongly agree
		IP Address		97	1729	True		SYN_0012							anonymous	EN	I consent to participate in this study	44	Female	Master's degree	Other		Elementary	Country C	Never	Always	Almost never	Always	Never	Often	Often	Sometimes	Never	Always	Sometimes	Always	Almost never	Disagree	Disagree	Completely disagree	Disagree	Strongly agree	Neither agree nor disagree	Completely disagree	Disagree	Strongly disagree	Strongly disagree	Completely disagree	Agree	Completely disagree	Strongly disagree	Disagree	Neither agree nor disagree	Agree	Completely disagree	Completely disagree	Disagree	Strongly disagree	Completely disagree	Strongly disagree	Strongly disagree	Strongly disagree	Completely disagree	Completely disagree	Agree	Completely agree	prefer not to say	Completely disagree	2	Strongly disagree	Strongly agree	30-60 min	Strongly disagree	Agree	4-5	0.5	Neither agree nor disagree	0.5	1	0	Completely agree
		IP Address		94	1656	True		SYN_0013							anonymous	EN	I consent to participate in this study	53	Male	High school	English		Intermediate	Country C	Almost never	Almost never	Almost never	Often	Always	Often	Always	Often	Almost never	Never	Almost never	Never	Almost never	Strongly disagree	Strongly disagree	Disagree	Strongly disagree	Agree	Strongly disagree	Completely disagree	Disagree	Agree	Completely disagree	Strongly disagree	Strongly disagree	Completely disagree	Disagree	Strongly disagree	Agree	Disagree	Completely disagree	Disagree	Disagree	Strongly disagree	Strongly agree	Strongly disagree	Agree	Completely agree	Strongly agree	Strongly disagree	Completely disagree	Neither agree nor disagree	Completely agree	Strongly disagree	4-6	Completely agree	Completely disagree	30-60 min	Disagree	Disagree	4-5	3-4	prefer not to say	1	0.5	5	Strongly agree
		IP Address		97	1769	True		SYN_0014							anonymous	EN	I consent to participate in this study	22	Prefer not to say	Master's degree	Other		Elementary	Country A	Never	Never	Almost never	Never	Never	Never	Sometimes	Never	Often	Sometimes	Always	Always	Always	Agree	Neither agree nor disagree	Disagree	Disagree	Strongly agree	Strongly agree	Disagree	Disagree	Strongly disagree	Completely agree	Completely agree	Agree	Strongly disagree	Strongly disagree	Completely disagree	Strongly disagree	Strongly disagree	Disagree	Strongly disagree	Completely disagree	Completely disagree	Disagree	Completely disagree	Completely disagree	Completely disagree	Disagree	Completely disagree	Completely disagree	Completely agree	prefer not to say	Disagree	11 or more	prefer not to say	Disagree	0-15 min	Completely agree	Strongly disagree	10 or more	3-4	Completely disagree	7 or more	0	3	Completely disagree
		IP Address		97	1534	True		SYN_0015							anonymous	EN	I consent to participate in this study	36	Prefer not to say	Doctorate	English		Intermediate	Country A	Sometimes	Never	Never	Almost never	Never	Almost never	Sometimes	Sometimes		Always	Never	Never	Almost never	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Disagree	Strongly disagree	Completely disagree	Completely disagree	Strongly disagree	Strongly disagree	Completely disagree	Neither agree nor disagree	Strongly disagree		Neither agree nor disagree	Completely disagree	Completely disagree	Strongly agree	Strongly disagree	Strongly disagree	Strongly agree	Neither agree nor disagree	11 or more	Disagree	Neither agree nor disagree	15-30 min	Completely disagree	Disagree	6-9	5 or more	Completely disagree	4-6	0	1	Strongly agree
		IP Address		95	1681	True		SYN_0016							anonymous	EN	I consent to participate in this study	36	Female	High school	English		Advanced	Country C	Often	Never	Sometimes	Always	Always	Sometimes	Often	Almost never	Often	Always	Sometimes	Always	Almost never	Completely agree	Neither agree nor disagree	Completely agree	Completely agree	Completely agree	Completely agree	Completely agree	Completely agree	Agree	Completely agree	Completely agree	Completely agree	Strongly agree	Disagree	Agree	Neither agree nor disagree	Agree	Disagree	Agree	Strongly agree	Neither agree nor disagree	Completely disagree	Agree	Strongly agree	Completely agree	Disagree	Strongly disagree	Completely agree	Completely agree	prefer not to say	Agree	0	Completely disagree	Disagree	2 hrs	prefer not to say	Strongly agree	1	5 or more	prefer not to say	7 or more	3-5	1	Neither agree nor disagree
		IP Address		99	393	True		SYN_0017							anonymous	EN	I consent to participate in this study	55	Male	High school	Other		Native	Country C	Never	Almost never	Often	Often	Never	Never	Never	Sometimes	Sometimes	Never	Often	Almost never	Often	Strongly disagree	Agree	Neither agree nor disagree	Completely disagree	Disagree	Completely disagree	Completely disagree	Completely disagree	Disagree	Completely agree	Strongly disagree	Neither agree nor disagree	Strongly agree	Strongly disagree	Disagree	Neither agree nor disagree	Completely agree	Strongly disagree	Completely agree	Agree	Completely disagree	Neither agree nor disagree	Disagree	Disagree	Strongly disagree	Disagree	Strongly disagree	Agree	Agree	Strongly agree	Completely agree	3	Agree	Agree	2-3 hrs	Agree	Disagree	2	0	Agree	1	0.5	3	Completely agree
		IP Address		100	1670	True		SYN_0018							anonymous	EN	I consent to participate in this study	27	Male	Master's degree	English		Advanced	Country C	Almost never	Often	Often	Almost never	Sometimes	Almost never	Almost never	Often	Always	Always	Often	Often	Almost never	Completely agree	Disagree	Strongly agree	Completely agree	Completely agree	Strongly agree	Completely agree	Completely agree	Strongly agree	Disagree	Completely agree	Completely agree	Disagree	Agree	Disagree	Strongly disagree	Strongly agree	Completely agree	Neither agree nor disagree	Strongly agree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Completely agree	Disagree	Completely disagree	Neither agree nor disagree	Disagree	Completely agree	prefer not to say	3	Completely disagree	Neither agree nor disagree	15-30 min	prefer not to say	Completely agree	10 or more	0	Strongly agree	3	1	1	Strongly agree
		IP Address		96	1454	True		SYN_0019							anonymous	EN	I consent to participate in this study	59	Prefer not to say	Master's degree	English		Intermediate	Country C	Sometimes	Almost never	Almost never	Almost never	Almost never	Sometimes	Never	Almost never	Sometimes	Often	Sometimes	Almost never	Often	Disagree	Completely agree	Disagree	Completely agree	Strongly agree	Neither agree nor disagree	Agree	Completely disagree	Disagree	Disagree	Strongly disagree	Neither agree nor disagree	Disagree	Strongly disagree	Completely disagree	Strongly agree	Disagree	Completely disagree	Strongly disagree	Agree	Completely disagree	Strongly disagree	Agree	Completely disagree	Disagree	Disagree	Disagree	Agree	Disagree	Completely disagree	Disagree	3	prefer not to say	Neither agree nor disagree	0-15 min	Strongly disagree	Strongly agree	0	5 or more	Agree	4-6	6-9	6 or more	Agree
		IP Address		97	804	True		SYN_0020							anonymous	EN	I consent to participate in this study	53	Female	High school	Other		Intermediate	Country C	Almost never	Almost never	Often	Often	Never	Always	Always	Almost never	Always	Almost never	Never	Often	Never	Agree	Strongly agree	Disagree	Strongly disagree	Strongly agree	Neither agree nor disagree	Agree	Neither agree nor disagree	Strongly disagree	Disagree	Agree	Neither agree nor disagree	Strongly agree	Strongly disagree	Neither agree nor disagree	Agree	Completely agree	Completely agree	Completely agree	Neither agree nor disagree	Strongly agree	Completely agree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly disagree	Neither agree nor disagree	Strongly agree	Strongly agree	Strongly agree	7-10	prefer not to say	prefer not to say	4 hrs or more	Completely agree	Agree	4-5	0	Neither agree nor disagree	1	10 or more	3	prefer not to say
		IP Address		98	1384	True		SYN_0021							anonymous	EN	I consent to participate in this study	47	Male	Doctorate	Other		Intermediate	Country B	Sometimes	Always	Often	Often	Sometimes	Often	Often	Almost never	Never	Sometimes	Always	Often	Always	Completely agree	Agree	Agree	Disagree		Agree	Strongly agree	Disagree	Agree	Completely agree	Agree	Strongly agree	Agree	Neither agree nor disagree	Strongly agree	Completely agree	Strongly agree	Strongly agree	Agree	Strongly agree	Completely agree	Disagree	Completely agree	Agree	Strongly agree	Strongly agree	Disagree	Completely agree	Strongly agree	Completely agree	Strongly disagree	7-10	Disagree	Disagree	60-90 min	Strongly agree	Strongly disagree	1	1	prefer not to say	1	0.5	3	Completely agree
		IP Address		93	1218	True		SYN_0022							anonymous	EN	I consent to participate in this study	34	Male	Doctorate	English		Native	Country C	Always	Almost never	Sometimes	Always	Always	Never	Always	Always	Often	Sometimes	Often	Never	Often	Neither agree nor disagree	Completely disagree	Disagree	Agree	Neither agree nor disagree	Completely agree	Agree	Strongly disagree	Agree	Disagree	Disagree	Agree	Disagree	Strongly agree	Completely agree	Strongly disagree	Completely disagree	Neither agree nor disagree	Neither agree nor disagree	Strongly agree	Disagree	Neither agree nor disagree	Strongly agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Completely agree	Disagree	Agree	Agree	Agree	1	Agree	Neither agree nor disagree	0-15 min	Strongly disagree	Completely agree	2	2	Completely disagree	4-6	0	6 or more	Disagree
		IP Address		98	1482	True		SYN_0023							anonymous	EN	I consent to participate in this study	59	Male	Bachelor's degree	Other		Intermediate	Country C	Never	Sometimes	Never	Often	Often	Always	Often	Often	Often	Often	Always	Often	Sometimes	Completely agree	Completely agree	Agree	Agree	Agree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree		Strongly disagree	Completely agree	Strongly agree	Neither agree nor disagree	Completely agree	Disagree	Agree	Disagree	Strongly disagree	Disagree	Completely disagree	Agree	Strongly disagree	Agree	Completely disagree	Strongly agree	Disagree	Strongly disagree	Disagree	prefer not to say	Disagree	Disagree	11 or more	Strongly disagree	prefer not to say	60-90 min	Strongly disagree	Completely disagree	4-5	1.5	prefer not to say	4-6	1	1	Disagree
		IP Address		93	539	True		SYN_0024							anonymous	EN	I consent to participate in this study	38	Prefer not to say	Doctorate	English		Advanced	Country A	Almost never	Always	Almost never	Sometimes	Often	Often	Often	Sometimes	Always	Always	Always	Often	Almost never	Completely agree	Completely agree	Completely agree	Completely agree	Completely agree	Agree	Completely agree	Strongly agree	Strongly agree	Agree	Completely agree	Strongly agree	Completely disagree	Disagree	Completely disagree	Agree	Agree	Disagree	Strongly agree	Strongly agree	Strongly disagree	Agree	Strongly disagree	Completely agree	Agree	Completely disagree	Completely agree	Strongly agree	Completely disagree	Neither agree nor disagree	Neither agree nor disagree	1	Disagree	Strongly disagree	15-30 min	Disagree	prefer not to say	6-9	2	prefer not to say	1	10 or more	0	prefer not to say
		IP Address		97	1250	True		SYN_0025							anonymous	EN	I consent to participate in this study	20	Female	Bachelor's degree	English		Advanced	Country B	Almost never	Never	Never	Never	Almost never	Never	Never	Never	Always	Often	Always	Sometimes	Always	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Strongly disagree	Strongly agree	Completely agree	Completely agree	Neither agree nor disagree	Strongly agree	Strongly disagree	Agree	Disagree	Strongly disagree	Neither agree nor disagree	Completely disagree	Disagree	Completely disagree	Completely disagree	Completely disagree	Strongly disagree	Strongly disagree	Disagree	Disagree	Strongly disagree	Completely disagree	Disagree	Strongly disagree	Disagree	prefer not to say	prefer not to say	Completely agree	3	Strongly disagree	Strongly agree	30-60 min	Strongly disagree	Disagree	6-9	1	Completely disagree	4-6	0	0	Neither agree nor disagree
		IP Address		95	1523	True		SYN_0026							anonymous	EN	I consent to participate in this study	61	Female	High school	Other		Elementary	Country C	Almost never	Almost never	Almost never	Sometimes	Almost never	Almost never	Never	Often	Almost never	Almost never	Never	Sometimes	Never	Strongly disagree	Disagree		Completely disagree	Completely disagree	Neither agree nor disagree	Completely disagree	Neither agree nor disagree	Disagree	Strongly disagree	Strongly disagree	Strongly disagree	Neither agree nor disagree	Neither agree nor disagree	Completely disagree	Disagree	Completely disagree	Completely agree	Strongly disagree	Neither agree nor disagree	Strongly agree	Strongly disagree	Neither agree nor disagree	Strongly disagree	Strongly agree	Disagree	Neither agree nor disagree	Disagree	Agree	Agree	prefer not to say	7-10	Neither agree nor disagree	Completely agree	4 hrs or more	Completely agree	Disagree	1	2	Strongly disagree	0.5	2	5	Neither agree nor disagree
		IP Address		91	1332	True		SYN_0027							anonymous	EN	I consent to participate in this study	58	Female	Bachelor's degree	English		Intermediate	Country A	Never	Sometimes	Almost never	Almost never	Sometimes	Almost never	Never	Almost never	Never	Often	Never	Almost never	Never	Strongly disagree	Neither agree nor disagree	Strongly disagree	Strongly disagree	Completely disagree	Strongly disagree	Completely disagree	Disagree	Strongly agree	Completely disagree	Disagree	Neither agree nor disagree	Completely disagree	Strongly disagree	Completely disagree	Strongly agree	Completely disagree	Strongly disagree	Disagree	Completely disagree	Strongly agree	Completely disagree	Strongly disagree	Strongly disagree	Neither agree nor disagree	Disagree	Completely disagree	Completely disagree	Completely disagree	Completely agree	Completely agree	4-6	Agree	Neither agree nor disagree	30-60 min	Completely agree	Strongly agree	2	0.5	Neither agree nor disagree	4-6	0.5	6 or more	Agree
		IP Address		94	820	True		SYN_0028							anonymous	EN	I consent to participate in this study	33	Male	Doctorate	English		Elementary	Country C	Never	Sometimes	Never	Never	Sometimes	Always	Never	Always	Often	Always	Sometimes	Sometimes	Never	Neither agree nor disagree	Strongly agree	Agree	Agree	Strongly agree	Strongly agree	Disagree	Disagree	Neither agree nor disagree	Agree	Completely agree	Completely agree	Completely agree	Completely disagree	Completely disagree	Strongly agree	Completely disagree	Completely disagree	Agree	Agree	Neither agree nor disagree	Disagree	Agree	Completely disagree	Agree	Disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Completely agree	Strongly disagree	1	prefer not to say	Strongly disagree	30-60 min	Completely disagree	Neither agree nor disagree	0	2	Completely disagree	3	6-9	0	Completely agree
		IP Address		93	476	True		SYN_0029							anonymous	EN	I consent to participate in this study	41	Prefer not to say	High school	Other		Intermediate	Country B	Often	Sometimes	Always	Always	Always	Often	Always	Always	Often		Sometimes	Always	Always	Completely agree	Agree	Strongly agree	Strongly disagree	Agree	Completely agree	Completely agree	Strongly agree	Completely agree	Strongly agree	Agree	Completely agree	Strongly agree	Completely agree	Completely agree	Completely agree	Completely agree	Agree	Completely agree	Completely agree	Completely agree	Completely agree	Completely agree	Completely agree	Strongly agree	Completely agree	Completely agree	Agree	Strongly disagree	Disagree	Neither agree nor disagree	0	Strongly agree	Disagree	0-15 min	Disagree	Strongly agree	0	5 or more	Strongly agree	7 or more	0.5	3	Strongly agree
		IP Address		100	281	True		SYN_0030							anonymous	EN	I consent to participate in this study	46	Female	Master's degree	Other		Advanced	Country C	Never	Never	Never	Never	Almost never	Almost never	Never	Never	Never	Almost never	Never	Never	Never	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Strongly disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree	Completely disagree		Disagree	Completely disagree	Strongly disagree	Completely agree	Disagree	Neither agree nor disagree	0	Neither agree nor disagree	Completely disagree	30-60 min	prefer not to say	Agree	2	5 or more	Strongly agree	2	0.5	3	prefer not to say
		IP Address		96	1349	True		SYN_0031							anonymous	EN	I consent to participate in this study	41	Male	Bachelor's degree	English		Elementary	Country C	Often	Often	Never	Sometimes	Often	Sometimes	Always	Often	Almost never	Almost never	Never	Sometimes	Never	Disagree	Agree	Strongly disagree	Agree	Completely agree	Disagree	Strongly disagree	Disagree	Disagree	Disagree	Neither agree nor disagree	Completely disagree	Agree	Strongly disagree	Strongly disagree	Completely agree	Agree	Strongly disagree	Strongly disagree	Strongly agree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Strongly disagree	Agree	Strongly disagree		Completely agree	Strongly disagree	prefer not to say	Strongly agree	3	Disagree	Agree	60-90 min	Completely agree	Strongly agree	4-5	5 or more	Completely agree	4-6	6-9	1	Completely agree
		IP Address		100	715	True		SYN_0032							anonymous	EN	I consent to participate in this study	25	Prefer not to say	High school	English		Intermediate	Country A	Almost never	Always	Almost never	Almost never	Always	Never	Sometimes	Almost never	Almost never	Always	Sometimes	Often	Never	Strongly disagree	Neither agree nor disagree	Neither agree nor disagree	Disagree	Disagree	Neither agree nor disagree	Disagree	Disagree	Agree	Strongly disagree	Disagree	Neither agree nor disagree	Completely agree	Agree	Strongly agree	Strongly agree	Disagree	Agree	Neither agree nor disagree	Completely disagree	Completely disagree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Disagree	Strongly disagree	Strongly disagree	Strongly agree	Strongly agree	prefer not to say	Completely agree	3	Completely disagree	Strongly agree	30-60 min	Neither agree nor disagree	Strongly agree	3	1	Disagree	0	1	5	Neither agree nor disagree
		IP Address		91	1431	True		SYN_0033							anonymous	EN	I consent to participate in this study	55	Male	Doctorate	Other		Advanced	Country C	Always	Often	Often	Never	Almost never	Almost never	Sometimes	Sometimes	Never		Never	Often	Often	Disagree	Agree	Disagree	Completely disagree	Disagree	Completely disagree	Agree	Strongly disagree	Agree	Strongly disagree	Neither agree nor disagree	Strongly disagree	Completely agree	Strongly disagree	Strongly agree	Strongly agree	Disagree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly disagree	Disagree	Strongly agree	Strongly disagree	Strongly agree	Agree	Strongly disagree	Disagree	prefer not to say	Completely agree	0	Disagree	Completely disagree	60-90 min	prefer not to say	Neither agree nor disagree	0	0	Strongly disagree	2	1	4	Neither agree nor disagree
